HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
tanzania-uganda-4fQtdju0,24 Mar 2019,1.84,3.33,3.95,2.38,1.59,1.08,1.52,2.66,5.15,8.75,6.75,2.40,1.43,1.13,1.04,-,3.55,-,-,-,3.30,-,-,-,1.83,-,-
central-africa-guinea-rPq196EN,24 Mar 2019,2.78,2.89,2.70,1.92,1.87,1.08,1.39,2.35,4.31,7.55,7.00,2.78,1.55,1.19,1.06,,-,1.42,,,-,4.32,,,-,5.33,
dr-congo-liberia-I37Gc9FB,24 Mar 2019,1.36,4.25,8.16,2.57,1.52,1.06,1.34,2.12,3.85,6.75,8.00,3.02,1.66,1.23,1.08,-,2.17,,,-,3.20,,,-,2.87,,
zimbabwe-congo-zuIBbk05,24 Mar 2019,1.70,3.41,4.86,2.38,1.59,1.07,1.46,2.39,4.57,8.25,7.00,2.56,1.53,1.15,1.05,-,3.05,,,-,3.32,,,-,2.04,,
mali-south-sudan-AgQTKgU5,23 Mar 2019,1.08,8.60,24.29,3.75,1.25,1.00,1.15,1.51,2.29,3.81,15.00,4.59,2.44,1.56,1.23,1.90,1.31,,,4.00,4.30,,,3.00,6.61,,
senegal-madagascar-hzkF9847,23 Mar 2019,1.23,5.23,11.27,2.75,1.45,1.02,1.30,1.97,3.42,6.08,10.00,3.33,1.80,1.27,1.10,3.10,1.78,-,,4.00,3.32,-,,1.83,3.50,-,
ghana-kenya-AHSXnh1g,23 Mar 2019,1.36,4.01,9.90,3.25,1.33,1.08,1.49,2.46,4.60,8.30,6.75,2.57,1.48,1.15,1.04,-,2.23,-,,-,3.00,-,,-,3.01,-,
ivory-coast-rwanda-QmZ58QTT,23 Mar 2019,1.19,5.53,17.25,3.75,1.25,1.04,1.31,2.03,3.58,6.58,9.25,3.20,1.74,1.25,1.08,2.87,1.65,-,,3.75,3.31,-,,1.95,4.11,-,
guinea-bissau-mozambique-4zbepgtl,23 Mar 2019,2.08,3.00,3.71,2.26,1.64,1.09,1.50,2.66,5.05,8.75,6.50,2.45,1.43,1.13,1.04,-,4.07,-,-,-,3.46,-,-,-,1.67,-,-
zambia-namibia-MB8joZQs,23 Mar 2019,2.46,2.79,3.16,2.50,1.55,1.11,1.65,2.97,5.83,9.60,5.65,2.19,1.34,1.10,1.02,-,5.44,-,-,-,3.66,-,-,-,1.50,-,-
niger-egypt-j9gwvIJE,23 Mar 2019,6.28,3.69,1.53,2.24,1.61,1.06,1.37,2.16,3.93,7.45,8.00,3.00,1.66,1.23,1.08,,-,2.40,-,,-,3.32,-,,-,2.48,-
cameroon-comoros-Y7Fk7z06,23 Mar 2019,1.25,4.89,12.91,3.25,1.33,1.05,1.37,2.17,3.92,7.70,8.70,2.87,1.64,1.21,1.07,3.20,1.90,-,,4.00,3.10,-,,1.80,3.57,-,
burundi-gabon-69k9NGGp,23 Mar 2019,2.53,2.87,2.94,2.41,1.59,1.11,1.62,2.86,5.75,9.55,5.50,2.25,1.37,1.10,1.02,,5.60,1.44,,,3.70,4.00,,,1.48,6.00,
algeria-gambia-MFKSs6Jd,22 Mar 2019,1.32,4.31,9.40,2.80,1.44,1.07,1.36,2.21,3.97,7.18,7.25,2.87,1.62,1.21,1.07,-,2.03,-,,-,3.28,-,,-,3.13,-,
tunisia-eswatini-YXrrwxZK,22 Mar 2019,1.08,8.43,23.64,3.44,1.33,1.02,1.17,1.52,2.45,4.16,14.00,4.50,2.38,1.51,1.21,1.90,1.30,,,4.00,4.27,,,3.00,6.93,,
botswana-angola-lQlFGNLj,22 Mar 2019,4.05,2.96,2.00,2.38,1.59,1.09,1.56,2.83,5.40,8.75,6.25,2.29,1.39,1.12,1.04,-,-,1.71,-,-,-,3.40,-,-,-,3.97,-
burkina-faso-mauritania-jVScu7bi,22 Mar 2019,1.38,4.05,8.44,2.71,1.47,1.07,1.41,2.38,4.44,7.75,7.25,2.69,1.53,1.17,1.05,-,2.25,-,,-,3.13,-,,-,2.74,-,
nigeria-seychelles-rkXIhNXE,22 Mar 2019,1.01,15.55,50.23,3.75,1.25,-,1.02,1.11,1.35,1.76,-,9.55,5.39,3.20,1.98,,1.04,,,,7.48,,,,17.71,,
sudan-equatorial-guinea-Qi9gTom6,22 Mar 2019,1.74,3.12,5.27,3.04,1.39,1.12,1.74,3.27,6.38,10.10,5.25,2.07,1.29,1.09,1.02,-,3.36,-,,-,3.09,-,,-,2.03,-,
malawi-morocco-KCHLWKgb,22 Mar 2019,5.74,3.24,1.64,2.75,1.45,1.11,1.60,2.99,5.98,11.50,5.50,2.22,1.36,1.10,1.03,,,,,,,,,,,,
guinea-ivory-coast-AcWgBSqB,18 Nov 2018,2.94,2.84,2.56,1.91,1.85,1.07,1.37,2.23,3.82,7.45,7.50,2.88,1.61,1.23,1.06,,-,1.47,,,-,3.95,,,-,5.04,
mauritania-botswana-AZkBH36p,18 Nov 2018,1.38,4.11,8.53,2.93,1.39,1.08,1.46,2.44,4.52,8.25,7.00,2.58,1.51,1.15,1.05,-,2.27,,,-,3.05,,,-,2.85,,
liberia-zimbabwe-dlJ7aVpa,18 Nov 2018,2.92,2.95,2.53,1.89,1.86,1.07,1.36,2.22,3.99,7.18,7.50,2.93,1.61,1.21,1.07,,-,1.53,,,-,4.33,,,-,5.00,
togo-algeria-AHjvyzop,18 Nov 2018,,,,,,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,,,,-,
angola-burkina-faso-IsbqMqbT,18 Nov 2018,2.36,2.85,3.25,2.27,1.59,1.13,1.56,2.79,5.28,9.30,5.50,2.31,1.40,1.12,1.03,,4.75,-,,,3.75,-,,,1.57,-,
congo-dr-congo-SEE30BVh,18 Nov 2018,3.20,2.99,2.32,1.93,1.82,1.08,1.37,2.24,4.14,7.55,7.00,2.83,1.61,1.20,1.06,,,1.53,,,,3.70,,,,4.39,
lesotho-tanzania-Q3RxcWPg,18 Nov 2018,3.13,2.91,2.40,2.06,1.73,1.10,1.47,2.50,4.62,8.25,6.50,2.54,1.48,1.15,1.05,,5.50,1.57,,,4.00,4.00,,,1.44,5.00,
eswatini-niger-CIfZvb48,18 Nov 2018,1.96,3.01,4.12,2.35,1.57,1.11,1.51,2.66,5.05,8.75,6.00,2.39,1.43,1.13,1.04,,3.70,,,,3.33,,,,1.78,,
mozambique-zambia-CxNKje3K,18 Nov 2018,2.74,2.99,2.60,1.89,1.86,1.06,1.35,2.17,3.92,7.15,8.00,2.98,1.64,1.21,1.07,,-,1.46,,,-,4.16,,,-,5.15,
rwanda-central-africa-4YpcAnaH,18 Nov 2018,2.57,2.87,2.88,2.03,1.72,1.08,1.44,2.47,4.57,8.25,7.00,2.60,1.50,1.15,1.05,,5.36,,,,3.88,,,,1.47,,
ethiopia-ghana-MgBe6t2E,18 Nov 2018,,,,,,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,,,,-,
kenya-sierra-leone-l2vPlEWt,18 Nov 2018,1.44,3.78,7.69,2.57,1.51,1.06,1.44,2.40,4.42,7.90,7.80,2.62,1.53,1.16,1.04,,2.40,,,,3.16,,,,2.55,,
madagascar-sudan-O0pBAlk1,18 Nov 2018,1.35,4.22,9.10,2.71,1.44,1.06,1.41,2.26,4.22,7.03,7.75,2.69,1.59,1.19,1.07,,2.10,,,,3.11,,,,3.05,,
gambia-benin-vierzf0j,17 Nov 2018,2.59,2.76,3.05,2.41,1.55,1.13,1.64,3.05,5.83,9.75,5.50,2.17,1.35,1.10,1.02,,5.92,-,,,3.71,-,,,1.46,-,
